Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Total Reps,Total Sets,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Hiking,5/27/2025 5:12,FALSE,Honoria Hiking,4.21,397,2:00,99,141,34,219,28:24:00,7:40,138,133,1.05,--,--,--,--,0,--,--,"6,334",--,--,-15,No,1:59:20,1,--,--,--,--,--,--,--,--,0:43:51,1:59:20,159,214
Yoga,5/25/2025 17:35,FALSE,Yoga,--,43,0:17,87,102,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,1,-2,No,0:16:57,1,18,12,26,-17,95,78,81,95,0:16:57,0:16:57,--,--
HIIT,5/25/2025 16:55,FALSE,HIIT - Custom,0,221,0:34,132,148,--,--,--,--,--,--,--,--,--,--,--,0,--,--,682,341,30,-5,No,0:33:08,1,--,--,--,--,--,--,--,--,0:22:30,0:33:09,--,--
HIIT,5/25/2025 16:44,FALSE,HIIT,0,45,0:09,112,130,--,--,--,--,--,--,--,--,--,--,--,0,--,--,440,220,9,-1,No,08:31.7,1,--,--,--,--,--,--,--,--,06:51.1,08:33.5,--,--
HIIT,5/25/2025 8:26,FALSE,HIIT - Custom,0,22,0:06,100,119,--,--,--,--,--,--,--,--,--,--,--,0,--,--,82,41,8,-1,No,05:22.3,1,--,--,--,--,--,--,--,--,0:04:00,05:22.3,--,--
Hiking,5/24/2025 8:17,FALSE,Honoria Hiking,2,195,0:34,123,146,84,228,16:49,4:16,70,63,0.71,--,--,--,--,0,--,--,"3,706",--,--,-5,No,0:33:35,1,--,--,--,--,--,--,--,--,0:27:32,0:33:35,167,204
Yoga,5/23/2025 16:13,FALSE,Yoga 101,--,42,0:21,84,104,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,56,-3,No,0:20:14,1,16,0,28,-51,87,36,78,95,0:20:09,0:20:14,--,--
HIIT,5/23/2025 16:02,FALSE,AMRAP Ab Burnout,0,44,0:11,104,126,--,--,--,--,--,--,--,--,--,--,--,0,--,--,156,78,10,--,No,0:10:32,1,--,--,--,--,--,--,--,--,0:10:00,0:10:32,--,--
Strength Training,5/23/2025 15:39,FALSE,Dumbbell Body Makeover,0,71,0:22,95,124,--,--,--,--,--,--,--,--,--,--,--,0,--,--,420,210,16,-1,No,0:21:46,1,--,--,--,--,--,--,--,--,0:11:39,0:21:46,--,--
Hiking,5/23/2025 14:29,FALSE,Honoria Hiking,1.76,141,0:33,110,139,91,175,18:19,10:42,73,66,0.6,--,--,--,--,0,--,--,"3,246",--,--,-2,No,0:32:14,1,--,--,--,--,--,--,--,--,0:27:12,0:32:14,162,214
Hiking,5/23/2025 10:40,FALSE,Honoria Hiking,3.09,270,1:18,102,141,57,176,24:59:00,8:21,96,139,0.71,--,--,--,--,0,--,--,"5,422",--,--,-8,No,1:17:14,1,--,--,--,--,--,--,--,--,0:42:30,1:17:14,170,247
Hiking,5/23/2025 9:11,FALSE,Honoria Hiking,1.51,116,0:52,83,119,26,156,34:09:00,8:48,34,34,1.12,--,--,--,--,0,--,--,"1,920",--,--,-4,No,0:51:37,1,--,--,--,--,--,--,--,--,0:13:17,0:51:37,174,213
HIIT,5/23/2025 6:07,FALSE,HIIT - Custom,0,18,0:06,91,113,--,--,--,--,--,--,--,--,--,--,--,0,--,--,84,42,8,-1,No,05:34.7,1,--,--,--,--,--,--,--,--,0:04:00,05:34.7,--,--
Yoga,5/22/2025 18:56,FALSE,Yoga,--,40,0:17,89,113,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,1,-2,No,0:16:33,1,15,9,22,16,81,97,85,99,0:16:33,0:16:33,--,--
HIIT,5/22/2025 18:41,FALSE,10-Minute Body Weight AMRAP,0,66,0:11,124,140,--,--,--,--,--,--,--,--,--,--,--,0,--,--,280,140,17,-1,No,0:10:13,1,--,--,--,--,--,--,--,--,0:10:13,0:10:13,--,--
Strength Training,5/21/2025 7:15,FALSE,Strength,0,129,0:37,100,137,--,--,--,--,--,--,--,--,--,--,--,0,--,--,816,408,30,-6,No,0:36:03,1,--,--,--,--,--,--,--,--,0:30:07,0:36:03,--,--
HIIT,5/21/2025 7:08,FALSE,HIIT - Custom,0,18,0:06,94,111,--,--,--,--,--,--,--,--,--,--,--,0,--,--,64,32,8,-1,No,05:12.3,1,--,--,--,--,--,--,--,--,0:04:00,05:12.3,--,--
Cardio,5/20/2025 8:52,FALSE,5-Minute Plank Challenge,0,21,0:06,101,118,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,30,5,-1,No,05:04.1,1,--,--,--,--,--,--,--,--,0:00:00,05:04.1,--,--
Strength Training,5/20/2025 8:12,FALSE,Strength,0,66,0:33,76,125,--,--,--,--,--,--,--,--,--,--,--,0,--,--,798,399,31,-4,No,0:32:55,1,--,--,--,--,--,--,--,--,0:25:16,0:32:55,--,--
HIIT,5/20/2025 8:00,FALSE,HIIT - Custom,0,37,0:12,90,136,--,--,--,--,--,--,--,--,--,--,--,0,--,--,52,26,9,-2,No,0:11:52,1,--,--,--,--,--,--,--,--,04:11.5,0:11:52,--,--
Strength Training,5/19/2025 5:28,FALSE,Strength,0,181,0:38,113,158,--,--,--,--,--,--,--,--,--,--,--,0,--,--,890,445,32,-7,No,0:37:44,1,--,--,--,--,--,--,--,--,0:27:51,0:37:57,--,--
